"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Bombing";"2";"5";"Assouan, Egypt";"A bomb killed two civilians and wounded 5 others near a police station[1]";"Unknown";"Insurgency in Egypt";"March";"2015"
"2";"Bombing";"2";"3";"Nangarhar, Afghanistan";"A bomb killed two students and wounded three others, all civilians. The Taliban are suspected.[2]";"Taliban (suspected)";"War in Afghanistan";"March";"2015"
"2";"Bombing";"6";"2";"Nangarhar, Afghanistan";"A bomb killed six civilians and wounded two others, all civilians. The Taliban are suspected.[3]";"Taliban (suspected)";"War in Afghanistan";"March";"2015"
"2";"Bombing";"2";"9";"Cairo, Egypt";"A bomb killed two civilians and wounded nine other civilians near the Supreme Court.[4]";"Unknown";"";"March";"2015"
"3";"Bombing";"3";"2";"Hadramout, Yemen";"Three soldiers were killed and two others wounded when a bomb exploded near their vehicle.[5]";"ISIL (suspected)";"Yemeni Civil War (2015)";"March";"2015"
"4";"Bombing";"3";"2";"Diffa, Nigeria";"Two soldiers were killed and one other wounded when a bomb exploded near their position.[6]";"Boko Haram (suspected)";"Boko Haram insurgency";"March";"2015"
"5";"Melee attack";"0";"1";"Seoul, South Korea";"The Ambassador of the United States, Mark Lippert, was injured in a knife attack conducted by a Korean nationalist[7]";"Korean nationalist";"";"March";"2015"
"6";"Mass shooting";"5";"9";"Bamako, Mali";"One French, one Belgian and three Malians were killed in an attack in a district of Bamako frequented by Westerners[8]";"Al-Mourabitoun[9]";"Northern Mali conflict";"March";"2015"
"6";"Vehicular assault, Melee attack";"0";"7";"East Jerusalem";"A Palestinian driver rammed his car into a crowd of border police, and then attacked them with a knife[10]";"Palestinian man
(lone wolf)[11]";"Israeli-Palestinian conflict";"March";"2015"
"6";"Mass shooting";"5";"6";"Kabul, Afghanistan";"Five people were killed and six others injured in the attack of a Sufi mosque in Kabul[12]";"Unknown";"War in Afghanistan";"March";"2015"
"7";"Suicide bombing";"58";"139";"Maiduguri, Nigeria";"Suicide bombs killed 58 and wounded 139 people in Maiduguri, Northern Nigeria. Attacks occurred roughly hour after each other in local markets and a car lot.[13]";"Boko Haram";"Boko Haram insurgency";"March";"2015"
"8";"Bombing";"1";"9";"Alexandria, Egypt";"A series of explosions killed one person and wounded nine in Alexandria near a supermarket and a police station[14]";"Unknown";"";"March";"2015"
"8";"Artillery";"3";"Dozens";"Kidal, Mali";"Three people, a UN soldier and two civilians were killed and a dozen injured in Kidal according to minusma[15]";"Unknown";"Northern Mali conflict";"March";"2015"
