"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
1;"Bombing";"0";"18";"Polomolok, South Cotabato, Philippines";"Unknown militants detonated an improvised explosive device inside a passenger bus in Polomolok, southern Philippines. 18 people were left injured. Abu Sayyaf is suspected in the attack due to its history of bombings in the area.[1][2]";"Abu Sayyaf (suspected)";"Moro Conflict";"October";"2015"
1;"Bombing";"4";"6";"Isabela City, Basilan, Philippines";"Unknown militants have placed an explosive device on a motorcycle taxi and detonated it at a convoy of Vice Mayor Abdubaki Ajibon of Isabela City. The blast killed Abdubaki Ajibon's driver, another passenger and two pedestrians, 6 others were wounded. Abdubaki Ajibon was reported unhurt. Abu Sayyaf is suspected in the attack due to its history of bombings in the area.[1][2]";"Abu Sayyaf (suspected)";"Moro Conflict";"October";"2015"
1;"Shooting";"2";"0";"West Bank";"Murder of Eitam and Na'ama Henkin: Five of a Hamas terrorist cell in the West Bank killed Eitam and Naama Henkin, parents of a Jewish family driving home from a meeting of yeshiva graduates, on a road near Nablus in the northern West Bank. Their four children, who were sitting in the car's back seat, were unhurt.[3][4] The attackers were caught and confessed their crimes on 5 October 2015.[5]";"Hamas affiliated cell";"Israeli–Palestinian conflict";"October";"2015"
1;"Attack";"4";"7";"Mardin, Turkey";"Four Turkish soldiers were killed in PKK attacks across southeastern Turkey.[6]";"PKK";"Kurdish–Turkish conflict (1978–present)";"October";"2015"
2;"Shooting";"1 (+1)";"0";"Parramatta, Sydney, Australia";"2015 Parramatta shooting: 15-year-old Farhad Khalil Mohammad Jabar shot dead an unarmed civilian police employee, working in finance, outside the NSW Police headquarters on Charles Street in Parramatta, New South Wales. The shooter was fatally shot by responding special constables after firing on them.[7]";"Farhad Khalil Mohammad Jabar (lone wolf)";"Terrorism in Australia";"October";"2015"
2;"Suicide bombing";"18";"41";"Abuja, Nigeria";"Male and female suicide bombers detonated their bombs outside a police station and a bus stop in Abuja, Nigeria's capital. Eighteen were killed with 41 wounded.[8]";"Boko Haram";"Boko Haram insurgency";"October";"2015"
3;"Melee attack, Shooting";"2 (+1)";"2";"East Jerusalem";"Lions' Gate stabbing: Mohannad Hallabi (age 19) stabbed four people. He then took a firearm from one of the wounded and started shooting at civilians and police officers who shot back and killed him. Two men died from stab wounds, a woman and her two-year-old toddler were wounded. The incident occurred in the Old City of Jerusalem.[9][10]";"Mohannad Hallabi
(lone wolf)";"Israeli–Palestinian conflict";"October";"2015"
4;"Melee attack";"0 (+1)";"1";"East Jerusalem";"Fadi Aloon stabbed a 15-years-old Jewish teenager near Damascus Gate in Jerusalem, leaving him with moderate wounds. The attacker was shot and killed by police officers.[11] Palestinians cast doubts on the Israeli report that Alon tried to stab a Jew. Based on a video they claimed that a group of Jews attacked him and called on the police to shoot him without reason.[12]";"Fadi Aloon (lone wolf)";"Israeli–Palestinian conflict";"October";"2015"
4;"Suicide bombing";"8";"11";"Diffa, Niger";"A suicide bomber blew himself up when confronted by a police officer in Diffa. The police officer and six civilians were killed in the attack which wounded eleven other civilians. One suspect in a group associated with the bomber was shot and killed while fleeing police forces and two more were arrested. Boko Haram is suspected in the attack.[13]";"Boko Haram (suspected)";"Boko Haram insurgency";"October";"2015"
5;"Suicide bombing, car bomb";"57";"Unknown";"Baghdad, Iraq";"Thirty-five people were killed after a car bomb parked outside a crowded market in Khalis exploded. The town is fifty miles outside Baghdad, Iraq. Also, in Al Zubair ten were killed along with twelve more killed in the Hussainiya district in other attacks. Islamic State claimed responsibility for the attacks.[14]";"Islamic State";"Iraq War";"October";"2015"
