"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Shooting";"1";"0";"Mogadishu, Somalia";"Islamist militants opened fire on a group of aid workers, killing one.";"Al-shabaab";"War in Somalia";"January";"2016"
"1";"Shooting";"3";"7";"Tel Aviv, Israel";"January 2016 Tel Aviv shooting: A Gunman identified as Arab-Israeli Nasha'at Melhem (via CCTV footage), fired into a crowded Pub and several other businesses in Dizingoff street in Tel Aviv, killing two civilians and wounding another seven. After fleeing the location, the attacker took a cab and then shot the driver dead.[1][2] Nasha'at Melhem was found by Israeli counter-terrorism forces in his hometown Ar'ara on 8 January 2016 and was shot dead after a shootout. No group claimed responsibility, but Israeli police forces suspect other people were involved in the incident. Selfie videos from his cell phone were later made public by the Shin Bet, with the videos leading officials to believe that the attack was inspired by ISIS.";"Nasha'at Melhem";"ISIL-inspired";"January";"2016"
"1";"Shooting";"1";"0";"Diyala, Iraq";"Unknown gunman shot and killed an Iraqi soldier in near a village in Diyala Governorate, northeast to Baqubah.[3]";"Unknown";"Iraqi Civil War";"January";"2016"
"1";"Suicide bombing";"2 (+1)";"15";"Kabul, Afghanistan";"Suicide bomber detonated himself in a French restaurant called 'Le Jardin', popular with foreigners that is located near a district with many foreign embassies and government buildings in Kabul, killing two people including a 12-year-old boy and wounding another 15. The blast also left a building engulfed in flames. Taliban claimed responsibility.[4]";"Taliban";"War in Afghanistan";"January";"2016"
"1";"Shooting";"1";"4";"Mogadishu, Somalia";"Gunmen opened fire near a mosque in Mogadishu killing one Somali man, and wounding four people including a Turkish citizen. The Turkish ministry of Foreign Affairs said the \"[...] attack was perpetrated against Turkish non-governmental organization workers that offer humanitarian aid in Mogadishu during noon hours.\" No group claimed responsibility, but Al-Qaeda-affiliated al-Shabaab are suspected.[5]";"al-Shabaab (suspected)";"War in Somalia";"January";"2016"
"1";"Vehicular attack";"0";"2 (+1)";"Valence, France";"29-year-old Frenchman of Tunisian descent rammed over a civilian and a guard in an entrance of a mosque in Valence, Drôme, reportedly while chanting Allahu Akbar (Allah is the greatest). He then put his car into reverse to try to ram the soldiers again who fired warning shots and then fired to disable the driver. The driver said he wanted to kill troops because \"troops killed people\" and that he wanted to be killed by the troops.[6]";"Lone wolf";"Wave of Terror in Europe";"January";"2016"
"1";"Executed";"300";"0";"Tripoli, Libya";"Three-hundred West African migrants are reportedly rounded up by lslamic state and executed.[7]";"Islamic State";"Second Libyan Civil War";"January";"2016"
"2";"Suicide bombing";"3 (+1)";"Unknown";"Mogadishu, Somalia";"A suicide bomber detonated himself in a popular restaurant near the National Theatre of Somalia in Mogadishu, killing at least three people. The attack was attributed to al-Qaeda-affiliated al-Shabaab.[8]";"al-Shabaab (suspected)";"War in Somalia";"January";"2016"
"2";"Attack";"8 (+6)";"20";"Pathankot, India";"2016 Pathankot attack: suspected militants disguised as soldiers attacked an Indian air base killing seven security force members, including Subedar Fateh Singh who won gold and silver medals in the first Commonwealth Shooting Championships held in 1995, before being killed after a 15-hour gunfight. A civilian was also killed in the attack.[9]";"Jaish-e-Mohammed";"Insurgency in Jammu and Kashmir";"January";"2016"
"3";"Suicide bombing";"15 (+5 )";"22";"Camp Speicher, Iraq";"Two of the bombers detonated their vehicle-borne explosives at the western gate of Camp Speicher, a former U.S. base outside the Sunni city of Tikrit. Three others exploded themselves after entering the section of the base where Iraqi police are being trained. The blasts killed at least 15 members of the security forces and wounded 22 others. The Islamic State claimed responsibility for the blasts and said it was aimed against Shi'ite Muslims.[10]";"Islamic State";"Iraqi Civil War";"January";"2016"
"3";"Shooting";"0";"1";"Hakvasim Junction, West Bank";"Unknown gunman shot an Israeli soldier with a sniper rifle near Hakvasim Junction in South Hebron hills, on the southern tip of the West Bank, hitting his leg.[11]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"January";"2016"
"3";"Shooting";"0";"1";"Cave of the Patriarchs, Hebron, West Bank";"Unknown gunman shot an Israeli female soldier near the Cave of the Patriarchs, Hebron. The shots came from surrounding residential buildings.[11]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"January";"2016"
"4";"Suicide bombing";"0 (+1)";"30";"Kabul, Afghanistan";"Militant drove a truck packed with explosives to the armored gates of a compound for civilian contractors near Kabul's airport before being detonated, smashing windows and sending glass flying and badly damaging nearby houses. At least 30 Afghan civilians, including nine children, were wounded in the attack. Taliban claimed responsibility for the attack.[12]";"Taliban";"War in Afghanistan";"January";"2016"
"4";"Shooting";"2";"0";"Quetta, Pakistan";"Unknown militants have fatally shot two policemen in Quetta, the provincial capital of Balochistan, and fled the scene. No group claimed responsibility; however, Balochi nationalists are suspected.[13]";"Balochi nationalists (suspected)";"Balochistan conflict";"January";"2016"
"5";"Shooting";"1";"0";"Samangan, Afghanistan";"A peace activist is gunned down by a suspected Taliban militant.";"Taliban (suspected)";"War in Afghanistan";"January";"2016"
