"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Attack";"21";"9";"North Sinai, Egypt";"July Sinai attacks: Militants from the IS-affiliated Wilayat Sayna organization simultaneously attacked 21 Egyptian security positions in North Sinai in attempt to establish territorial control over those territories. Militants detonated two suicide car bombs in Sheikh Zuweid targeting two military barriers and then besieged a police station in Sheikh Zuweid and clashed with Egyptian forces in Sheikh Zuweid and Rafah. Militants also attacked and shelled minor security positions across North Sinai and claimed it had detonated a suicide car bomb in Arish but no media or official reports confirmed that.[1] The attacks left 21 Egpytians dead and 9 wounded.";"Wilayat Sayna
(Islamic State)";"Sinai Insurgency";"July";"2015"
"1–2";"Massacre";"145";"17";"Kukawa, Nigeria";"Kukawa, Nigeria Massacre: Boko Haram militants attacked multiple mosques between July 1 and 2. 84 men and boys were killed on the 1st at one mosque in Kukawa. 17 were wounded in the attack. 97 others, mostly men, were killed in numerous mosques on the 2nd with a number of women and young girls killed in their homes. An unknown number were wounded. Boko Haram claimed responsibility.[2]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"2";"Assassination";"1";"0";"Miahuatlán de Porfirio Díaz, Mexico";"Two assailants attacked a journalist departing a radio station building in Miahuatlan de Porfirio Diaz city, Oaxaca state, Mexico. The journalist, Filadelfo Sanchez Sarmiento, was killed in the attack. No group claimed responsibility for the incident.[3]";"Unknown";"Mexican Drug War";"July";"2015"
"4";"Car bombing";"10";"Unknown";"Derna, Libya";"Three car bombs killed ten civilians in the city of Derna, Libya. An unknown number were wounded. Bombings occurred during clashes between Islamic State and Al-Qaeda militants. Responsibility for the bombings is unknown.[4]";"Unknown";"Libyan Civil War";"July";"2015"
"4";"Bombing";"7";"9";"Waziristan, Pakistan";"Three separate attacks in Pir Ghr, North Waziristan and South Waziristan claimed the lives of seven soldiers and injured nine others. Tehrik-i-Taliban Pakistan claimed responsibility for the attack.[5]";"Tehrik-i-Taliban Pakistan";"War in North-West Pakistan";"July";"2015"
"5";"Bombing";"69";"67+";"Jos and Potiskum, Nigeria";"Boko Haram set off bombs at a mosque and restaurant in Jos. Fifty-one were killed along with 67 injured. In Potiskum, militants killed six in a suicide bombing. Later militants killed nine people and burned thirty-two churches and three hundred houses in cities in the Northeast. Boko Haram claimed responsibility for the attacks.[6]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"4–5";"Raid";"26";"";"Lake Chad, Chad";"Boko Haram raided two villages on Lake Chad (Merom and Tiskra) on 4 and 5 July and killed 13 people in each attack. The militants slit the throats of their victims and burned down houses, before fleeing.[7]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"7";"Suicide bombing";"25";"32";"Zaria, Nigeria";"A suspected suicide bomber blow himself up outside of a government building in the city of Zaria. Twenty-five were killed and thirty-two injured in the bombing. Boko Haram claimed responsibility for the attacks.[8]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"7";"Mass shooting";"14";"0";"Mandera, Kenya";"Fourteen quarry workers were ambushed and killed in the city of Mandera. Christians were targeted in the attack, killing ten, letting Muslims escape. No wounded were reported during the attack. Al Shabaab militants claimed responsibility, mirroring previous attacks.[9]";"Al Shabaab";"Somali Civil War";"July";"2015"
"8";"Beheading";"3";"";"Faryab Province, Afghanistan";"Three policemen who were abducted by Taliban a few days previously were found beheaded on 8 July on the Qaisar-Ghormach highway in Faryab Province of Afghanistan.[10]";"Taliban";"War in Afghanistan";"July";"2015"
"9";"Execution";"5";"";"Bosso, Niger";"Boko Haram militants slit the throats of five civilians in Dagaya, a village near Bosso, Niger.[11]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"10";"Raid";"11";"";"Ngamdu, Nigeria";"Boko Haram militants raided the village of Ngamdu, Nigeria and killed 11 people.[12]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"10";"Raid";"43";"";"Monguno, Nigeria";"Boko Haram militants raided three villages in Monguno (Kalwa, Misala and Gwollam) and killed 43 people by either slitting their throats or gunshots. After the killings, the militants burned down houses in the villages.[13]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"11";"Bombing";"4";"1";"Maiduguri, Nigeria";"A tricycle exploded near the office of the department of state security in Maiduguri, killing four passengers and injuring an onlooker.[14]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"11";"Suicide bombing";"15";"80";"N'Djamena, Chad";"A man disguised as a woman in a full-face veil killed 15 people and injured 80 in a suicide bombing in N'Djamena, Chad.[12]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"11";"Car bomb";"1";"9";"Cairo, Egypt";"A car bombing outside the Italian consulate in Cairo killed one person, wounded nine others and resulted in widespread damage and flooding. Islamic State claimed responsibility for the attack.[15] See Bombing of the Cairo Italian Consulate";"Islamic State";"Sinai Insurgency";"July";"2015"
"12";"Car bomb, suicide bombing";"29";"81";"Baghdad, Iraq";"A series of bombs across Baghdad on 12 July killed at least 29 people and wounded 81 others.[16]Islamic State claimed responsibility for the attacks.";"Islamic State";"Iraq War";"July";"2015"
"12";"Raid";"4";"";"Diffa, Niger";"Boko Haram militants raided a prison in Diffa and killed a prison guard, before three of the militants were killed.[17]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"13";"Suicide bombing";"33";"10";"Khost Province";"Suicide bombing killed at least 33 people and another 10 were injured in Khost Province.[18]";"Unknown";"War in Afghanistan";"July";"2015"
"13";"Suicide bombing";"33";"10";"Fotokol, Cameroon";"At least 12 people die in suicide attacks in a town of Fotokol.[19]";"Boko Haram";"Boko Haram insurgency in Cameroon";"July";"2015"
"15";"Attack";"33";"unknown";"Borno State, Nigeria";"Boko Haram killed at least 33 people in three separate attacks in the northeast part of the country.[20]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"15";"Melee attack";"0";"1";"Nahliel, West Bank";"Twenty-two-year-old Ruan Abu Matar approached a military post near the Israeli Settlement of Nahliel in the West Bank and stabbed a soldier leaving him in a light-to-moderate condition.[21]";"Ruan Abu Matar
(lone wolf)";"Israeli–Palestinian conflict";"July";"2015"
"16";"Car bombing";"1";"2";"Riyadh, Saudi Arabia";"At least 1 person died and another 2 were wounded in car bombing in Riyadh.[22]";"Islamic State";"";"July";"2015"
"16";"Ambush";"2";"0";"Narathiwat Province, Thailand";"Gunmen killed 2 soldiers in Thailand.[23]";"Unknown";"South Thailand insurgency";"July";"2015"
"16";"Spree shooting";"5 (+1)";"2";"Chattanooga, United States";"2015 Chattanooga shootings: 24-year-old Kuwaiti-born American Muhammad Abdulazeez opened fire on a U.S. military recruitment center and a U.S. Navy Reserve center in Chattanooga, Tennessee, killing 4 U.S. Marines and a sailor, and wounding a Marine and a Chattanooga police officer. An investigation revealed Abdulazeez had been radicalized online by foreign Islamic terror group.";"Muhammad Abdulazeez (lone wolf)";"";"July";"2015"
"17";"Suicide bombing";"64";"0";"Damaturu, Nigeria";"Suicide bombers killed at least 64 people in multiple blasts in the northeastern towns of Gombe and Damaturu, Nigeria. (WSJ via AP)(Local 10) (BBC)";"Unknown";"Boko Haram insurgency";"July";"2015"
"17";"Suicide bombing, car bomb";"130";"130";"Khan Bani Saad, Iraq";"Khan Bani Saad bombing: A car bomb was sent to a crowded market in Khan Bani Saad in Iraq, 30 km north to Baghdad, during the Eid al-Fitr celebrations. The explosion killed at least 100 (15 children among them) and injuring another 170 people and brought down several buildings. Islamic State claimed responsibility and said 180 people were killed.[24][25][26]";"Islamic State";"Iraqi Civil War";"July";"2015"
"20";"Suicide bombing";"34";"104";"Suruc, Turkey";"Suruç bombing: A suicide bomber attacked a Peoples' Democratic Party protest in Suruc, Turkey. Thirty-two were killed along with an unknown number of wounded. Islamic State was suspected to be behind the bombing.[27]";"Islamic State";"Turkey–ISIL conflict";"July";"2015"
"25";"Suicide bombing";"12";"45";"Tuz Khurmatu, Iraq";"Two suicide bombers attacked a crowded swimming pool in Tuz Khurmatu, Iraq, causing at least 12 deaths and injuries to 45 others.[28]";"Unknown";"Iraq War";"July";"2015"
"26";"Suicide bombing";"16";"50";"Damaturu, Nigeria";"A girl aged about 10 detonated a suicide bomb near a crowded market in Damaturu, Nigeria, killing at least 16 and injuring 50 others.[29]";"Boko Haram";"Boko Haram insurgency";"July";"2015"
"26";"Suicide bombing";"10–15";"unknown";"Mogadishu, Somalia";"Jazeera Palace Hotel suicide bombing: A suicide bomber detonates a vehicle loaded with explosives at a hotel in the Somali capital of Mogadishu, killing 10-15 people and wounding several others.";"Al-Shabaab";"Somali Civil War";"July";"2015"
"26";"Suicide bombing";"20";"70";"Maroua, Cameroon";"A 13-year-old female suicide bomber attacks in the Cameroonian town of Maroua, killing 20 people and injuring another 70.";"Unknown";"Boko Haram insurgency in Cameroon";"July";"2015"
"26";"Shooting";"1";"0";"Istanbul, Turkey";"One policeman was shot and killed in the Gazi neighborhood, by members of DHKP/C.[30]";"DHKP/C";"DHKP/C insurgency in Turkey";"July";"2015"
"27";"Mass shooting";"10";"16";"Punjab, India";"2015 Gurdaspur attack: Gunmen dressed in Indian Army uniforms opened fire on a civilian bus and then took over a police station in the northern state of Punjab early on Monday, killing at least five people, the police said, in a region that has been mostly calm since India quelled a Sikh insurgency there two decades ago.[31]";"Unknown";"";"July";"2015"
"28";"Bombing";"2";"6";"Sitra, Bahrain";"Two policemen were killed and six others injured in a bombing in the village of Sitra in Bahrain.[32]";"Unknown";"";"July";"2015"
"29";"Suicide bombing, car bomb";"12+";"8";"Ramadi, Iraq";"A Humvee packed with explosives was rammed into Iraqi forces deployed outside of the University of Ramadi and detonated[33]";"Islamic State (suspected)";"Iraq War";"July";"2015"
"29";"Suicide bombing, car bomb";"6";"4";"Fallujah, Iraq";"A Humvee packed with explosives was driven at paramilitary forces near Fallujah and detonated.[34]";"Islamic State (suspected)";"Iraq War";"July";"2015"
