"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Suicide bombing";"6 (+1)";"2";"Mayo-Tsanaga, Cameroon";"Six people were killed and two wounded by a Boko Haram suicide attack on a mosque in the village of Zamga.[1]";"Boko Haram";"Boko Haram insurgency";"November";"2017"
"1";"Stabbing";"1";"1";"Tunis, Tunisia";"A suspected Islamist stabbed two policemen with a knife near Tunisia's parliament, killing one and injuring the other.[2][3]";"Lone wolf";"Insurgency in the Maghreb";"November";"2017"
"1";"Bombing";"15";"27";"Charikar, Afghanistan";"15 people were killed and 27 others were injured after an explosion near two tankers and a bus in the town of Charikar.[4]";"Taliban (suspected)";"Afghanistan War";"November";"2017"
"1";"Bombing";"9";"0";"Mosul, Iraq";"Nine Iraqis were killed by the explosion of bombs left over in their homes in western Mosul by Islamic State terrorists.[5]";"Islamic State";"Iraqi Civil War";"November";"2017"
"3";"Suicide car bombing";"9 (+1)";"23";"Hader, Syria";"A suicide car bombing killed nine and injured 27 others in a government-held village in Syria's Quneitra Governorate.[6]";"Tahrir al-Sham";"Syrian Civil War";"November";"2017"
"3";"Mortar attack";"3";"3";"Diyala, Iraq";"Three policemen were killed and three others were wounded after an Islamic State mortar attack.[7]";"Islamic State";"Iraqi Civil War";"November";"2017"
"4";"Bombing";"1";"4";"Anbar, Iraq";"An Iraqi army commander was killed and four others were injured in an Islamic State bomb blast.[8]";"Islamic State";"Iraqi Civil War";"November";"2017"
"4";"Mortar attack";"2";"Several";"Damascus, Syria";"Two citizens were killed and several others were injured when three mortar shells hit the Syrian capital.[9]";"Tahrir al-Sham (suspected)";"Syrian Civil War";"November";"2017"
"4";"Suicide car bombing";"100+";"140";"Deir ez-Zor Governorate, Syria";"At least 100 civilians were killed and 140 others were wounded in a Daesh car bombing that struck a gathering of people displaced by fighting in eastern Syria.[10][11]";"Islamic State";"Syrian Civil War";"November";"2017"
"5";"Bombing, shooting";"6";"6";"Mosul, Iraq";"Six persons, including security personnel were killed, while six others were wounded in armed attack, bomb blasts in Mosul.[12]";"Islamic State (suspected)";"Iraqi Civil War";"November";"2017"
"5";"Suicide car bombing, Shooting";"15 (+1)";"20";"Aden, Yemen";"At least fifteen people were killed and twenty others injured in a suicide car bombing and shooting in Aden.[13][14]";"Islamic State";"Yemeni Civil War";"November";"2017"
"5";"Shooting";"1 (+2)";"0";"Nazran, Russia";"One police officer was killed and also two attackers in a shooting during a police control. One of the attackers tried to make a suicide attack but he was shot dead by the security forces.[15]";"Imam Shamil Battalion (suspected)";"Insurgency in the North Caucasus";"November";"2017"
"5";"Suicide Bombings";"1 (+2)";"21";"Kirkuk, Iraq";"One civilian was killed plus two attackers and 21 wounded in a suicide attack in Kirkuk.[16]";"Jihad and Reform Front (suspected)";"Iraqi Civil War (2014–present)";"November";"2017"
"6";"Bombing";"0";"9";"Deir ez-Zor, Syria";"Four journalists working for Russian TV channels and five Russian servicemen were injured in an explosion of an improvised explosive device planted in the Syrian city of Deir ez-Zor.[17]";"Islamic State (suspected)";"Syrian Civil War";"November";"2017"
"7";"Shooting, Suicide bombing";"2 (+3)";"20";"Kabul, Afghanistan";"A TV building was attacked in downtown Kabul by three militants. An employee and a security guard were killed while at least 20 others were injured in the attack. At least one militant blew himself up while the others were killed during a gunfight with security forces. Islamic State claimed responsibility for the attack.[18]";"Islamic State";"War in Afghanistan (2015-present)";"November";"2017"
"9";"Suicide bombing";"3 (+1)";"7";"Quetta, Pakistan";"Three including a senior police official were killed in a suicide attack in Quetta .[19]";"Tehrik-i-Taliban (suspected)";"Insurgency in Balochistan";"November";"2017"
"13";"Shootings, Attacks";"23 (+45)";"15 (+25)";"Kandahar province, Afghanistan";"At least 23 Afghan National Police officers were killed and 15 others were wounded in a serious of attacks carried out by the Taliban on several police check posts in southern Kandahar province.[20]";"Taliban";"Afghanistan War";"November";"2017"
"14";"Suicide car bombings";"6";"Dozens";"Aden, Yemen";"Two suicide car bombings hit Aden. The motives are under investigation.[21]";"Islamic State";"Yemeni Civil War";"November";"2017"
"15";"Bombing";"3";"0";"Aleppo, Syria";"Three children were killed in the explosion of a landmine, that was planted by the Islamic State group, in the city of al-Bab, in the eastern countryside of Aleppo.[22]";"Islamic State";"Syrian Civil War";"November";"2017"
"15";"Suicide bombings";"18 (+4)";"30";"Maiduguri, Nigeria";"At least ten people have been killed and dozens injured in a suicide attack in a popular market in Maiduguri.[23][24]";"Boko Haram (suspected)";"Boko Haram insurgency";"November";"2017"
"16";"Shooting";"2";"1";"Semdinli, Turkey";"Two soldiers were killed and another injured in a shooting caused by PKK members in Hakkâri Province.[25]";"PKK";"Kurdish-Turkish conflict";"November";"2017"
"16";"Car bombing";"18";"10+";"Kabul, Afghanistan";"At least 18 people were killed including eight policemen and ten civilians in an explosive device, possibly a car bomb, outside a restaurant.[26][27]";"Islamic State (suspected)";"War in Afghanistan";"November";"2017"
"17";"Car bombings";"26";"Dozens";"Deir ez-Zor Governorate, Syria";"At least 26 people were killed and dozens injured in a series of coordinated car bombings in the governorate of Deir ez-Zor, in Syria. 12 children were among the victims of this attack.[28]";"Islamic State (suspected)";"Syrian Civil War";"November";"2017"
"17";"Vehicular attack, Attempted stabbing";"0";"2 (+1)";"Gush Etzion, Israel";"A car plugged into pedestrians and injured seriously two people. Later the attacker tried to stab a police officer but he was shot and wounded.[29]";"Palestinian Nationalist";"Israeli-Palestinian conflict";"November";"2017"
"18";"Car bombing";"15+";"15+";"Idlib province, Syria";"A car bombing hit a refugee camp in Idlib province killing at least 15 and wounding the same number of people.[30]";"Islamic State";"Syrian Civil War";"November";"2017"
"19";"Bombing";"3";"5";"Anbar Governorate, Iraq";"Three paramilitary personnel were killed, while five others were wounded as a booby-trapped house exploded in western Anbar.[31]";"Islamic State";"Iraqi Civil War";"November";"2017"
"20";"Bombing";"0";"4";"Baghdad, Iraq";"A bomb went off in a shop of construction materials in western Baghdad.[32]";"Islamic State";"Iraqi Civil War";"November";"2017"
"20";"Executions";"6";"0";"Borno State, Nigeria";"At least six farmers were beheaded in Borno State, Nigeria by Boko Haram terrorists.[33]";"Boko Haram";"Boko Haram insurgency";"November";"2017"
